idx,mix,score
0,FE_1,Mean AUC: 0.7406 ± 0.0018
1,"FE_1, FE_2",Mean AUC: 0.7401 ± 0.0019
2,"FE_1, FE_3",Mean AUC: 0.7406 ± 0.0018
3,"FE_1, FE_4",Mean AUC: 0.7406 ± 0.0018
4,"FE_1, FE_6",Mean AUC: 0.7406 ± 0.0018
5,"FE_1, FE_7","오류남, 다시 해"
6,"FE_1, FE_8",Mean AUC: 0.7401 ± 0.0018
7,"FE_1, FE_9",Mean AUC: 0.7404 ± 0.0017
8,"FE_1, FE_11","오류남, 다시 해"
